what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1747878127210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747878127225
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747878127234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1747878133738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747878134648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747878150437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1747878152375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1747878152944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1747878153220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1747878153516
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1747878153712
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1747878153954
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1747878154428
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1747878155208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1747878155846
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1747878156352
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1747878162310
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1747878163723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747878166253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747878168128
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1747878168353
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1747878169688
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1747878169902
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1747878171656
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1747878173829
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1747878178665
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747878179700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747878226808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747878227509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747878227716
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747878506413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747878506441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747878507875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747878514214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747878517568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747878530650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747878533821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747878535224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747878546955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747878566035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747878621084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747878621104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747878622017
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1747878630131
