what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1747881745715
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1747881747910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881772201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881792560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881796662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881797806
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747881797838
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1747881801733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881805294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881807197
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1747881807427
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1747881808827
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1747881809035
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1747881810825
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1747881812986
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1747881832859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881833331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881870071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881871156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881872561
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747881872584
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1747881875542
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1747881877235
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1747881878094
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1747881881182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881884970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881886905
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1747881887130
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1747881888492
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1747881888707
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1747881890464
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1747881892603
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1747881900024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881900526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881922779
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881923658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881925148
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747881925170
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1747881928015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881930591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881932509
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1747881932755
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1747881934157
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1747881934362
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1747881936127
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1747881938305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881977579
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881986979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881987803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881989186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881990073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881992644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881994889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747881997185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747882003419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747882004088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747882010396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747882012380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747882016339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747882020018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747882026390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747882030691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747882033394
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747882035004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747882037918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747882039219
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747882091082
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1747882091566
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1747882091975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747882092401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747882104091
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1747882129274
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747882140415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747882146903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747882201838
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1747882333204
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747882344341
